"Entrez.Gene.IDA"	"Symbol.A"	"Entrez.Gene.IDB"	"Symbol.B"
"190"	"NR0B1"	"2104"	"ESRRG"
"190"	"NR0B1"	"2516"	"NR5A1"
"191"	"AHCY"	"191"	"AHCY"
"191"	"AHCY"	"10513"	"APPBP2"
"191"	"AHCY"	"79078"	"C1orf50"
"191"	"AHCY"	"91369"	"ANKRD40"
"207"	"AKT1"	"8115"	"TCL1A"
"211"	"ALAS1"	"211"	"ALAS1"
"211"	"ALAS1"	"605"	"BCL7A"
"211"	"ALAS1"	"5493"	"PPL"
"211"	"ALAS1"	"6919"	"TCEA2"
"211"	"ALAS1"	"7114"	"TMSB4X"
"211"	"ALAS1"	"7115"	"TMSB4XP1"
"211"	"ALAS1"	"7116"	"TMSB4XP2"
"211"	"ALAS1"	"7120"	"TMSB4XP6"
"211"	"ALAS1"	"7456"	"WIPF1"
"211"	"ALAS1"	"7728"	"ZNF175"
"211"	"ALAS1"	"9168"	"TMSB10"
"211"	"ALAS1"	"10868"	"USP20"
"211"	"ALAS1"	"23503"	"ZFYVE26"
"211"	"ALAS1"	"26073"	"POLDIP2"
"211"	"ALAS1"	"54535"	"CCHCR1"
"211"	"ALAS1"	"54552"	"GNL3L"
"211"	"ALAS1"	"54980"	"C2orf42"
"211"	"ALAS1"	"57634"	"EP400"
"211"	"ALAS1"	"63898"	"SH2D4A"
"211"	"ALAS1"	"64781"	"CERK"
"211"	"ALAS1"	"64927"	"TTC23"
"211"	"ALAS1"	"79577"	"CDC73"
"211"	"ALAS1"	"84460"	"ZMAT1"
"211"	"ALAS1"	"91694"	"LONRF1"
"211"	"ALAS1"	"113115"	"MTFR2"
"211"	"ALAS1"	"124460"	"SNX20"
"211"	"ALAS1"	"142679"	"DUSP19"
"211"	"ALAS1"	"150483"	"TEKT4"
"211"	"ALAS1"	"163050"	"ZNF564"
"211"	"ALAS1"	"283212"	"KLHL35"
"211"	"ALAS1"	"441518"	"FAM127C"
"212"	"ALAS2"	"54971"	"BANP"
"216"	"ALDH1A1"	"216"	"ALDH1A1"
"221"	"ALDH3B1"	"3881"	"KRT31"
"221"	"ALDH3B1"	"85291"	"KRTAP4-2"
"221"	"ALDH3B1"	"125115"	"KRT40"
"221"	"ALDH3B1"	"386675"	"KRTAP10-7"
"221"	"ALDH3B1"	"386676"	"KRTAP10-9"
"221"	"ALDH3B1"	"386680"	"KRTAP10-5"
"221"	"ALDH3B1"	"386681"	"KRTAP10-8"
"221"	"ALDH3B1"	"386682"	"KRTAP10-3"
"221"	"ALDH3B1"	"388677"	"NOTCH2NL"
"226"	"ALDOA"	"226"	"ALDOA"
"226"	"ALDOA"	"230"	"ALDOC"
"226"	"ALDOA"	"3441"	"IFNA4"
"230"	"ALDOC"	"84708"	"LNX1"
"240"	"ALOX5"	"4222"	"MEOX1"
"240"	"ALOX5"	"5966"	"REL"
"240"	"ALOX5"	"8379"	"MAD1L1"
"240"	"ALOX5"	"79802"	"HHIPL2"
"240"	"ALOX5"	"80254"	"CEP63"
"240"	"ALOX5"	"93426"	"SYCE1"
"240"	"ALOX5"	"256646"	"NUTM1"
"240"	"ALOX5"	"285753"	"CEP57L1"
"248"	"ALPI"	"386676"	"KRTAP10-9"
"248"	"ALPI"	"386681"	"KRTAP10-8"
"248"	"ALPI"	"386682"	"KRTAP10-3"
"248"	"ALPI"	"388677"	"NOTCH2NL"
"250"	"ALPP"	"3846"	"KRTAP5-9"
"250"	"ALPP"	"83755"	"KRTAP4-12"
"250"	"ALPP"	"386682"	"KRTAP10-3"
"259"	"AMBP"	"2275"	"FHL3"
"271"	"AMPD2"	"271"	"AMPD2"
"271"	"AMPD2"	"23582"	"CCNDBP1"
"273"	"AMPH"	"5533"	"PPP3CC"
"273"	"AMPH"	"159989"	"CCDC67"
"273"	"AMPH"	"339231"	"ARL16"
"293"	"SLC25A6"	"373"	"TRIM23"
"293"	"SLC25A6"	"3881"	"KRT31"
"293"	"SLC25A6"	"7185"	"TRAF1"
"293"	"SLC25A6"	"7205"	"TRIP6"
"293"	"SLC25A6"	"11043"	"MID2"
"293"	"SLC25A6"	"23281"	"MTUS2"
"293"	"SLC25A6"	"84445"	"LZTS2"
"293"	"SLC25A6"	"150483"	"TEKT4"
"293"	"SLC25A6"	"388677"	"NOTCH2NL"
"301"	"ANXA1"	"4212"	"MEIS2"
"307"	"ANXA4"	"23569"	"PADI4"
"311"	"ANXA11"	"10016"	"PDCD6"
"311"	"ANXA11"	"10342"	"TFG"
"311"	"ANXA11"	"55165"	"CEP55"
"318"	"NUDT2"	"4175"	"MCM6"
"327"	"APEH"	"327"	"APEH"
"327"	"APEH"	"3964"	"LGALS8"
"327"	"APEH"	"9798"	"IST1"
"329"	"BIRC2"	"842"	"CASP9"
"329"	"BIRC2"	"2670"	"GFAP"
"329"	"BIRC2"	"4828"	"NMB"
"329"	"BIRC2"	"51027"	"BOLA1"
"329"	"BIRC2"	"55093"	"WDYHV1"
"329"	"BIRC2"	"55840"	"EAF2"
"329"	"BIRC2"	"56915"	"EXOSC5"
"329"	"BIRC2"	"79444"	"BIRC7"
"329"	"BIRC2"	"79571"	"GCC1"
"329"	"BIRC2"	"80705"	"TSGA10"
"329"	"BIRC2"	"152926"	"PPM1K"
"331"	"XIAP"	"842"	"CASP9"
"331"	"XIAP"	"843"	"CASP10"
"331"	"XIAP"	"1163"	"CKS1B"
"331"	"XIAP"	"2071"	"ERCC3"
"331"	"XIAP"	"5985"	"RFC5"
"331"	"XIAP"	"8767"	"RIPK2"
"331"	"XIAP"	"10783"	"NEK6"
"331"	"XIAP"	"55048"	"VPS37C"
"331"	"XIAP"	"91694"	"LONRF1"
"331"	"XIAP"	"117178"	"SSX2IP"
"335"	"APOA1"	"116173"	"CMTM5"
"336"	"APOA2"	"117144"	"CATSPER1"
"347"	"APOD"	"9218"	"VAPA"
"356"	"FASLG"	"7205"	"TRIP6"
"356"	"FASLG"	"8601"	"RGS20"
"356"	"FASLG"	"125115"	"KRT40"
"356"	"FASLG"	"388677"	"NOTCH2NL"
"358"	"AQP1"	"358"	"AQP1"
"358"	"AQP1"	"373"	"TRIM23"
"358"	"AQP1"	"2353"	"FOS"
"358"	"AQP1"	"3881"	"KRT31"
"358"	"AQP1"	"3884"	"KRT33B"
"358"	"AQP1"	"6477"	"SIAH1"
"358"	"AQP1"	"6925"	"TCF4"
"358"	"AQP1"	"7185"	"TRAF1"
"358"	"AQP1"	"7186"	"TRAF2"
"358"	"AQP1"	"7205"	"TRIP6"
"358"	"AQP1"	"8601"	"RGS20"
"358"	"AQP1"	"10188"	"TNK2"
"358"	"AQP1"	"10253"	"SPRY2"
"358"	"AQP1"	"11043"	"MID2"
"358"	"AQP1"	"22806"	"IKZF3"
"358"	"AQP1"	"22807"	"IKZF2"
"358"	"AQP1"	"23281"	"MTUS2"
"358"	"AQP1"	"26575"	"RGS17"
"358"	"AQP1"	"54793"	"KCTD9"
"358"	"AQP1"	"55118"	"CRTAC1"
"358"	"AQP1"	"64651"	"CSRNP1"
"358"	"AQP1"	"64753"	"CCDC136"
"358"	"AQP1"	"80817"	"CEP44"
"358"	"AQP1"	"83899"	"KRTAP9-2"
"358"	"AQP1"	"85291"	"KRTAP4-2"
"358"	"AQP1"	"85376"	"RIMBP3"
"358"	"AQP1"	"123722"	"FSD2"
"358"	"AQP1"	"125115"	"KRT40"
"358"	"AQP1"	"158405"	"KIAA1958"
"358"	"AQP1"	"284001"	"CCDC57"
"358"	"AQP1"	"285622"	"NBPF22P"
"358"	"AQP1"	"339834"	"CCDC36"
"358"	"AQP1"	"386675"	"KRTAP10-7"
"358"	"AQP1"	"386682"	"KRTAP10-3"
"358"	"AQP1"	"388677"	"NOTCH2NL"
"362"	"AQP5"	"3190"	"HNRNPK"
"362"	"AQP5"	"3881"	"KRT31"
"362"	"AQP5"	"125115"	"KRT40"
"362"	"AQP5"	"388677"	"NOTCH2NL"
"366"	"AQP9"	"89885"	"FATE1"
"369"	"ARAF"	"3845"	"KRAS"
"369"	"ARAF"	"57085"	"AGTRAP"
"373"	"TRIM23"	"373"	"TRIM23"
"373"	"TRIM23"	"573"	"BAG1"
"373"	"TRIM23"	"1039"	"CDR2"
"373"	"TRIM23"	"1329"	"COX5B"
"373"	"TRIM23"	"1641"	"DCX"
"373"	"TRIM23"	"1794"	"DOCK2"
"373"	"TRIM23"	"2624"	"GATA2"
"373"	"TRIM23"	"3215"	"HOXB5"
"373"	"TRIM23"	"3801"	"KIFC3"
"373"	"TRIM23"	"3853"	"KRT6A"
"373"	"TRIM23"	"3964"	"LGALS8"
"373"	"TRIM23"	"4005"	"LMO2"
"373"	"TRIM23"	"5252"	"PHF1"
"373"	"TRIM23"	"5296"	"PIK3R2"
"373"	"TRIM23"	"5682"	"PSMA1"
"373"	"TRIM23"	"6477"	"SIAH1"
"373"	"TRIM23"	"6591"	"SNAI2"
"373"	"TRIM23"	"6615"	"SNAI1"
"373"	"TRIM23"	"6628"	"SNRPB"
"373"	"TRIM23"	"7114"	"TMSB4X"
"373"	"TRIM23"	"7128"	"TNFAIP3"
"373"	"TRIM23"	"7185"	"TRAF1"
"373"	"TRIM23"	"7329"	"UBE2I"
"373"	"TRIM23"	"7918"	"GPANK1"
"373"	"TRIM23"	"8502"	"PKP4"
"373"	"TRIM23"	"8859"	"STK19"
"373"	"TRIM23"	"9063"	"PIAS2"
"373"	"TRIM23"	"9547"	"CXCL14"
"373"	"TRIM23"	"9586"	"CREB5"
"373"	"TRIM23"	"9929"	"JOSD1"
"373"	"TRIM23"	"10024"	"TROAP"
"373"	"TRIM23"	"10174"	"SORBS3"
"373"	"TRIM23"	"10524"	"KAT5"
"373"	"TRIM23"	"10783"	"NEK6"
"373"	"TRIM23"	"10868"	"USP20"
"373"	"TRIM23"	"11144"	"DMC1"
"373"	"TRIM23"	"23650"	"TRIM29"
"373"	"TRIM23"	"23759"	"PPIL2"
"373"	"TRIM23"	"27129"	"HSPB7"
"373"	"TRIM23"	"27238"	"GPKOW"
"373"	"TRIM23"	"27247"	"NFU1"
"373"	"TRIM23"	"27343"	"POLL"
"373"	"TRIM23"	"50650"	"ARHGEF3"
"373"	"TRIM23"	"51073"	"MRPL4"
"373"	"TRIM23"	"51324"	"SPG21"
"373"	"TRIM23"	"51545"	"ZNF581"
"373"	"TRIM23"	"54540"	"FAM193B"
"373"	"TRIM23"	"54906"	"FAM208B"
"373"	"TRIM23"	"55138"	"FAM90A1"
"373"	"TRIM23"	"55246"	"CCDC25"
"373"	"TRIM23"	"55633"	"TBC1D22B"
"373"	"TRIM23"	"55738"	"ARFGAP1"
"373"	"TRIM23"	"55840"	"EAF2"
"373"	"TRIM23"	"55916"	"NXT2"
"373"	"TRIM23"	"56006"	"SMG9"
"373"	"TRIM23"	"57542"	"KLHL42"
"373"	"TRIM23"	"57616"	"TSHZ3"
"373"	"TRIM23"	"57639"	"CCDC146"
"373"	"TRIM23"	"57674"	"RNF213"
"373"	"TRIM23"	"58524"	"DMRT3"
"373"	"TRIM23"	"63898"	"SH2D4A"
"373"	"TRIM23"	"64170"	"CARD9"
"373"	"TRIM23"	"64396"	"GMCL1P1"
"373"	"TRIM23"	"65117"	"RSRC2"
"373"	"TRIM23"	"65265"	"C8orf33"
"373"	"TRIM23"	"79173"	"C19orf57"
"373"	"TRIM23"	"79446"	"WDR25"
"373"	"TRIM23"	"79696"	"ZC2HC1C"
"373"	"TRIM23"	"81567"	"TXNDC5"
"373"	"TRIM23"	"83541"	"FAM110A"
"373"	"TRIM23"	"83640"	"FAM103A1"
"373"	"TRIM23"	"84294"	"UTP23"
"373"	"TRIM23"	"84311"	"MRPL45"
"373"	"TRIM23"	"84832"	"ANKRD36BP1"
"373"	"TRIM23"	"84985"	"FAM83A"
"373"	"TRIM23"	"85302"	"FBF1"
"373"	"TRIM23"	"91647"	"ATPAF2"
"373"	"TRIM23"	"113115"	"MTFR2"
"373"	"TRIM23"	"115106"	"HAUS1"
"373"	"TRIM23"	"116349"	"C5orf55"
"373"	"TRIM23"	"118812"	"MORN4"
"373"	"TRIM23"	"147525"	"LINC00526"
"373"	"TRIM23"	"154865"	"IQUB"
"373"	"TRIM23"	"163050"	"ZNF564"
"373"	"TRIM23"	"166979"	"CDC20B"
"373"	"TRIM23"	"170954"	"PPP1R18"
"373"	"TRIM23"	"220136"	"CFAP53"
"373"	"TRIM23"	"255167"	"LINC01018"
"373"	"TRIM23"	"285093"	"RTP5"
"373"	"TRIM23"	"286499"	"FAM133A"
"373"	"TRIM23"	"287015"	"TRIM42"
"373"	"TRIM23"	"391257"	"SUMO1P1"
"373"	"TRIM23"	"644903"	"FLJ38668"
"373"	"TRIM23"	"729603"	"LOC729603"
"374"	"AREG"	"386682"	"KRTAP10-3"
"378"	"ARF4"	"27111"	"SDCBP2"
"379"	"ARL4D"	"79839"	"CCDC102B"
"387"	"RHOA"	"396"	"ARHGDIA"
"387"	"RHOA"	"7205"	"TRIP6"
"387"	"RHOA"	"9750"	"FAM65B"
"387"	"RHOA"	"22806"	"IKZF3"
"389"	"RHOC"	"9750"	"FAM65B"
"398"	"ARHGDIG"	"79036"	"KXD1"
"398"	"ARHGDIG"	"645455"	"CEP170P1"
"402"	"ARL2"	"5147"	"PDE6D"
"402"	"ARL2"	"9094"	"UNC119"
"402"	"ARL2"	"23568"	"ARL2BP"
"402"	"ARL2"	"79718"	"TBL1XR1"
"406"	"ARNTL"	"3091"	"HIF1A"
"407"	"ARR3"	"10733"	"PLK4"
"407"	"ARR3"	"23099"	"ZBTB43"
"407"	"ARR3"	"84838"	"ZNF496"
"408"	"ARRB1"	"5601"	"MAPK9"
"409"	"ARRB2"	"5601"	"MAPK9"
"410"	"ARSA"	"9319"	"TRIP13"
"435"	"ASL"	"435"	"ASL"
"435"	"ASL"	"55093"	"WDYHV1"
"439"	"ASNA1"	"444"	"ASPH"
"439"	"ASNA1"	"2882"	"GPX7"
"439"	"ASNA1"	"29923"	"HILPDA"
"440"	"ASNS"	"140691"	"TRIM69"
"440"	"ASNS"	"253769"	"WDR27"
"443"	"ASPA"	"91703"	"ACY3"
"445"	"ASS1"	"445"	"ASS1"
"463"	"ZFHX3"	"125115"	"KRT40"
"468"	"ATF4"	"1054"	"CEBPG"
"468"	"ATF4"	"2800"	"GOLGA1"
"468"	"ATF4"	"2874"	"GPS2"
"468"	"ATF4"	"8419"	"BFSP2"
"468"	"ATF4"	"8945"	"BTRC"
"468"	"ATF4"	"10403"	"NDC80"
"468"	"ATF4"	"23641"	"LDOC1"
"468"	"ATF4"	"29903"	"CCDC106"
"468"	"ATF4"	"57761"	"TRIB3"
"468"	"ATF4"	"79571"	"GCC1"
"468"	"ATF4"	"390535"	"GOLGA8EP"
"468"	"ATF4"	"440321"	"FLJ32679"
"475"	"ATOX1"	"755"	"C21orf2"
"475"	"ATOX1"	"9453"	"GGPS1"
"475"	"ATOX1"	"55007"	"FAM118A"
"496"	"ATP4B"	"23582"	"CCNDBP1"
"498"	"ATP5A1"	"506"	"ATP5B"
"506"	"ATP5B"	"91647"	"ATPAF2"
"516"	"ATP5G1"	"140691"	"TRIM69"
"526"	"ATP6V1B2"	"6925"	"TCF4"
"527"	"ATP6V0C"	"1896"	"EDA"
"527"	"ATP6V0C"	"4481"	"MSR1"
"527"	"ATP6V0C"	"5684"	"PSMA3"
"527"	"ATP6V0C"	"85027"	"SMIM3"
"528"	"ATP6V1C1"	"528"	"ATP6V1C1"
"539"	"ATP5O"	"3860"	"KRT13"
"539"	"ATP5O"	"3866"	"KRT15"
"539"	"ATP5O"	"7205"	"TRIP6"
"539"	"ATP5O"	"7541"	"ZBTB14"
"539"	"ATP5O"	"9240"	"PNMA1"
"539"	"ATP5O"	"10403"	"NDC80"
"539"	"ATP5O"	"22978"	"NT5C2"
"539"	"ATP5O"	"24144"	"TFIP11"
"539"	"ATP5O"	"64753"	"CCDC136"
"539"	"ATP5O"	"79618"	"HMBOX1"
"539"	"ATP5O"	"80321"	"CEP70"
"539"	"ATP5O"	"83878"	"USHBP1"
"539"	"ATP5O"	"145282"	"MIPOL1"
"570"	"BAAT"	"390535"	"GOLGA8EP"
"570"	"BAAT"	"440321"	"FLJ32679"
"570"	"BAAT"	"100132565"	"GOLGA8F"
"570"	"BAAT"	"100132979"	"GOLGA8DP"
"572"	"BAD"	"598"	"BCL2L1"
"573"	"BAG1"	"3312"	"HSPA8"
"573"	"BAG1"	"5708"	"PSMD2"
"573"	"BAG1"	"5987"	"TRIM27"
"577"	"BAI3"	"253635"	"GPATCH11"
"578"	"BAK1"	"597"	"BCL2A1"
"578"	"BAK1"	"599"	"BCL2L2"
"580"	"BARD1"	"2801"	"GOLGA2"
"580"	"BARD1"	"7185"	"TRAF1"
"580"	"BARD1"	"10615"	"SPAG5"
"580"	"BARD1"	"10640"	"EXOC5"
"580"	"BARD1"	"23641"	"LDOC1"
"580"	"BARD1"	"64753"	"CCDC136"
"580"	"BARD1"	"80321"	"CEP70"
"580"	"BARD1"	"125115"	"KRT40"
"580"	"BARD1"	"171483"	"FAM9B"
"583"	"BBS2"	"4188"	"MDFI"
"583"	"BBS2"	"10197"	"PSME3"
"583"	"BBS2"	"11030"	"RBPMS"
"585"	"BBS4"	"4656"	"MYOG"
"595"	"CCND1"	"1019"	"CDK4"
"595"	"CCND1"	"1026"	"CDKN1A"
"595"	"CCND1"	"1027"	"CDKN1B"
"597"	"BCL2A1"	"638"	"BIK"
"597"	"BCL2A1"	"171483"	"FAM9B"
"598"	"BCL2L1"	"90427"	"BMF"
"599"	"BCL2L2"	"638"	"BIK"
"599"	"BCL2L2"	"6925"	"TCF4"
"599"	"BCL2L2"	"89885"	"FATE1"
"599"	"BCL2L2"	"90427"	"BMF"
"599"	"BCL2L2"	"147872"	"CCDC155"
"604"	"BCL6"	"604"	"BCL6"
"604"	"BCL6"	"3801"	"KIFC3"
"604"	"BCL6"	"6477"	"SIAH1"
"604"	"BCL6"	"7185"	"TRAF1"
"604"	"BCL6"	"8548"	"BLZF1"
"604"	"BCL6"	"51043"	"ZBTB7B"
"604"	"BCL6"	"51076"	"CUTC"
"604"	"BCL6"	"96626"	"LIMS3"
"604"	"BCL6"	"255877"	"BCL6B"
"631"	"BFSP1"	"23636"	"NUP62"
"635"	"BHMT"	"635"	"BHMT"
"637"	"BID"	"5966"	"REL"
"637"	"BID"	"10768"	"AHCYL1"
"638"	"BIK"	"89885"	"FATE1"
"640"	"BLK"	"6774"	"STAT3"
"640"	"BLK"	"10278"	"EFS"
"640"	"BLK"	"80125"	"CCDC33"
"642"	"BLMH"	"642"	"BLMH"
"642"	"BLMH"	"55093"	"WDYHV1"
"642"	"BLMH"	"83594"	"NUDT12"
"644"	"BLVRA"	"84708"	"LNX1"
"648"	"BMI1"	"1912"	"PHC2"
"648"	"BMI1"	"6015"	"RING1"
"648"	"BMI1"	"81565"	"NDEL1"
"655"	"BMP7"	"3846"	"KRTAP5-9"
"655"	"BMP7"	"5987"	"TRIM27"
